code,age_band,level,category,language,question_text,answer_text,accepted_answers,active
3-5-L01-Q01,3-5,1,colours,en,What colour is the sky on a sunny day?,blue,,
3-5-L01-Q02,3-5,1,animals,en,What sound does a dog make?,woof,bow wow | bark | barking,
3-5-L01-Q03,3-5,1,body,en,How many eyes do you have?,two,2 | two eyes,
3-5-L01-Q04,3-5,1,everyday,en,What do we drink when we are thirsty?,water,milk | juice,
3-5-L01-Q05,3-5,1,animals,en,Which animal says meow?,a cat,cat | kitten | kitty,
3-5-L01-Q06,3-5,1,shapes,en,What shape is a ball?,round,a circle | circle | sphere,
3-5-L01-Q07,3-5,1,counting,en,How many wheels does a bicycle have?,two,2 | two wheels,
3-5-L01-Q08,3-5,1,weather,en,What falls from the sky when it rains?,rain,water | raindrops | rain drops,
3-5-L01-Q09,3-5,1,colours,en,What colour is grass?,green,,
3-5-L01-Q10,3-5,1,animals,en,Where do fish live?,in water,water | the sea | sea | river | pond,
3-5-L02-Q01,3-5,2,animals,en,Which animal has a long trunk?,an elephant,elephant,
3-5-L02-Q02,3-5,2,counting,en,What number comes after three?,four,4,
3-5-L02-Q03,3-5,2,body,en,Which part of your body do you use to hear?,your ears,ears | my ears | ear,
3-5-L02-Q04,3-5,2,nature,en,Is the sun hot or cold?,hot,it is hot | very hot,
3-5-L02-Q05,3-5,2,colours,en,What colour do you get when you mix red and white?,pink,,
3-5-L02-Q06,3-5,2,animals,en,How many legs does a cat have?,four,4 | four legs,
3-5-L02-Q07,3-5,2,everyday,en,What do we wear on our feet?,shoes,socks | slippers | sandals,
3-5-L02-Q08,3-5,2,shapes,en,How many sides does a triangle have?,three,3 | three sides,
3-5-L02-Q09,3-5,2,space,en,What do we see shining in the sky at night?,the moon,moon | stars | the stars,
3-5-L02-Q10,3-5,2,animals,en,Which animal hops and likes to eat carrots?,a rabbit,rabbit | bunny,
3-5-L03-Q01,3-5,3,animals,en,Which animal gives us milk?,a cow,cow | buffalo | a buffalo,
3-5-L03-Q02,3-5,3,counting,en,How many fingers are on one hand?,five,5 | five fingers,
3-5-L03-Q03,3-5,3,colours,en,What colour is a banana?,yellow,,
3-5-L03-Q04,3-5,3,body,en,Which part of your body do you use to walk?,your legs,legs | my legs | feet | my feet,
3-5-L03-Q05,3-5,3,everyday,en,What do we use to brush our teeth?,a toothbrush,toothbrush | brush,
3-5-L03-Q06,3-5,3,animals,en,What do we call a baby cat?,a kitten,kitten | kittens,
3-5-L03-Q07,3-5,3,shapes,en,How many corners does a square have?,four,4 | four corners,
3-5-L03-Q08,3-5,3,weather,en,What do we hold over our head when it is raining?,an umbrella,umbrella | raincoat,
3-5-L03-Q09,3-5,3,animals,en,Which bird likes to swim in water?,a duck,duck | swan | penguin,
3-5-L03-Q10,3-5,3,everyday,en,Where do we sleep at night?,in bed,bed | my bed | on a bed,
